day_index,hour,tariff_yuan_per_kwh,actual_net_load_kw,grid_exchange_kw,plan_charge_kw,plan_discharge_kw,exec_charge_kw,exec_discharge_kw,soc_open,soc_close,arbitrage_revenue_yuan,service_capacity_revenue_yuan,service_delivery_revenue_yuan,service_penalty_yuan,degradation_cost_yuan,transformer_penalty_yuan,voltage_penalty_yuan
1,0,0.278,6163.573822463767,7170.659483614811,1007.0857890059042,0.00012785486091716294,1007.0856611510433,0.0,0.5,0.5900000942130739,-279.96981379999005,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.278,6133.611775362319,7092.74073082877,959.1290834232274,0.00012795677646670883,959.1289554664509,0.0,0.5900000942130739,0.6757144477029317,-266.6378496196734,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.278,6083.758731884058,6946.974353535122,863.215749825266,0.00012817420173947354,863.2156216510642,0.0,0.6757144477029317,0.7528573266770976,-239.97394281899588,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.278,6136.936376811594,6856.28220253666,719.3459542567086,0.00012853164144415957,719.3458257250672,0.0,0.7528573266770976,0.8171430121798003,-199.97813955156872,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.278,6193.873949275362,6721.393788750095,527.5199685461674,0.00012907143453844667,527.5198394747329,0.0,0.8171430121798003,0.8642858095439572,-146.65051537397574,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.278,6163.712155797102,6451.449548994475,287.7381927433057,0.00012931373733447528,287.73739319737206,0.0,0.8642858095439572,0.89,-79.99099530886944,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.614,5995.643423913043,5995.643423913043,0.0006536928689042619,2.5532284809807685e-05,0.0,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.614,5985.979384057971,5868.88689050967,7.11805195065071e-05,117.09256472882147,0.0,117.09249354830196,0.89,0.8789850634229318,71.8947910386574,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.614,6241.082608695651,6069.82395833505,8.043070237440007e-05,171.2587307913042,0.0,171.25865036060182,0.8789850634229318,0.8628746953298809,105.15281132140952,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.614,6340.383876811595,6177.880987733066,8.297811368286551e-05,162.50297205664293,0.0,162.50288907852925,0.8628746953298809,0.8475879851185899,99.77677389421696,0.0,0.0,0.0,0.0,0.0,0.0
